Row Labels,Sum of num_staffe
Alhambra,101
Arcadia,318
Avalon,8
Baldwin Park,348
Bellflower,0
Burbank,377
Cerritos,187
Covina,356
Downey,652
Duarte,217
Encino,82
Gardena,157
Glendale,687
Glendora,212
Harbor City,257
Huntington Park,81
Inglewood,313
La Mirada,86
Lakewood,172
Lancaster,393
Long Beach,1245
Los Angeles,6261
Lynwood,384
Marina Del Rey,133
Mission Hills,316
Monrovia,49
Montebello,224
Monterey Park,283
Northridge,318
Norwalk,1167
Palmdale,157
Panorama City,278
Paramount,177
Pasadena,681
Pomona,443
Reseda,10
Rosemead,97
San Dimas,95
San Gabriel,187
San Pedro,186
Santa Monica,547
Sherman Oaks,112
South El Monte,104
Sun Valley,133
Sylmar,270
Tarzana,250
Torrance,1371
Valencia,196
Van Nuys,333
West Covina,13
West Hills,228
Whittier,488
Woodland Hills,262
Grand Total,22002
