County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Los Angeles,43834.00,3502.00,66.00,739.00,1332.00,335.00,220.00
San Bernardino,43834.00,245.00,5.00,95.00,196.00,39.00,52.00
Orange,43834.00,579.00,11.00,117.00,221.00,50.00,48.00
Riverside,43834.00,306.00,11.00,85.00,182.00,29.00,47.00
Sacramento,43834.00,299.00,8.00,53.00,138.00,20.00,33.00
San Diego,43834.00,851.00,11.00,168.00,340.00,71.00,32.00
Ventura,43834.00,154.00,5.00,22.00,96.00,5.00,23.00
Santa Clara,43834.00,805.00,33.00,160.00,85.00,77.00,15.00
Alameda,43834.00,287.00,8.00,52.00,76.00,27.00,15.00
Fresno,43834.00,75.00,0.00,19.00,101.00,5.00,13.00
Contra Costa,43834.00,267.00,3.00,31.00,42.00,12.00,12.00
San Joaquin,43834.00,132.00,8.00,25.00,35.00,16.00,11.00
San Mateo,43834.00,354.00,13.00,57.00,35.00,19.00,9.00
Kern,43834.00,53.00,0.00,15.00,45.00,7.00,9.00
San Francisco,43834.00,432.00,6.00,67.00,66.00,30.00,8.00
Santa Barbara,43834.00,103.00,0.00,23.00,23.00,15.00,6.00
Stanislaus,43834.00,29.00,0.00,25.00,39.00,10.00,6.00
San Luis Obispo,43834.00,69.00,0.00,8.00,10.00,5.00,6.00
Monterey,43834.00,47.00,2.00,13.00,16.00,4.00,4.00
Imperial,43834.00,25.00,0.00,4.00,15.00,3.00,4.00
Tulare,43834.00,43.00,1.00,4.00,12.00,3.00,4.00
Butte,43834.00,6.00,0.00,5.00,33.00,2.00,4.00
Yuba,43834.00,5.00,0.00,2.00,24.00,2.00,4.00
Nevada,43834.00,15.00,0.00,36.00,54.00,0.00,4.00
El Dorado,43834.00,14.00,0.00,14.00,8.00,1.00,3.00
Merced,43834.00,7.00,0.00,3.00,15.00,0.00,3.00
Humboldt,43834.00,19.00,0.00,1.00,9.00,0.00,3.00
Placer,43834.00,52.00,2.00,25.00,28.00,6.00,2.00
Solano,43834.00,57.00,0.00,14.00,18.00,5.00,2.00
Marin,43834.00,87.00,1.00,9.00,19.00,4.00,2.00
Santa Cruz,43834.00,44.00,1.00,2.00,12.00,2.00,2.00
Sonoma,43834.00,60.00,1.00,5.00,18.00,1.00,2.00
Kings,43834.00,3.00,0.00,2.00,6.00,1.00,2.00
