Row Labels,Sum of num_staffe
Alabama,14974
Alaska,1542
Arizona,15379
Arkansas,9990
California,80802
Colorado,10659
Connecticut,8047
Delaware,2636
District of Columbia,3077
Florida,54821
Georgia,23227
Hawaii,3361
Idaho,3325
Illinois,31103
Indiana,17559
Iowa,7749
Kansas,8659
Kentucky,12934
Louisiana,17280
Maine,3073
Maryland,10873
Massachusetts,18360
Michigan,24236
Minnesota,11861
Mississippi,10538
Missouri,19149
Montana,2950
Nebraska,5753
Nevada,7775
New Hampshire,2789
New Jersey,21365
New Mexico,4459
New York,46491
North Carolina,24777
North Dakota,3230
Ohio,32888
Oklahoma,12009
Oregon,7508
Pennsylvania,37087
Puerto Rico,6935
Rhode Island,2992
South Carolina,12394
South Dakota,2890
Tennessee,18300
Texas,71175
Utah,5636
Vermont,1131
Virginia,18144
Washington,13468
West Virginia,6388
Wisconsin,13101
Wyoming,1459
(blank),2367
Grand Total,810675
