fips,province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active
1,Alabama,US,31-03-2020 18:31,32.3182,-86.9023,949.00,15.00,0.00,0.00
2,Alaska,US,31-03-2020 18:31,61.3707,-152.4044,119.00,3.00,0.00,0.00
4,Arizona,US,31-03-2020 18:31,33.7298,-111.4312,1158.00,20.00,0.00,0.00
5,Arkansas,US,31-03-2020 18:31,34.9697,-92.3731,508.00,7.00,0.00,0.00
6,California,US,31-03-2020 18:31,36.1162,-119.6816,7477.00,150.00,0.00,0.00
8,Colorado,US,31-03-2020 18:31,39.0598,-105.3111,2627.00,51.00,0.00,0.00
9,Connecticut,US,31-03-2020 18:31,41.5978,-72.7554,2571.00,36.00,0.00,0.00
10,Delaware,US,31-03-2020 18:31,39.3185,-75.5071,264.00,7.00,0.00,0.00
888,Diamond Princess,US,31-03-2020 18:31,35.4437,139.6380,49.00,0.00,0.00,0.00
11,District of Columbia,US,31-03-2020 18:31,38.8974,-77.0268,495.00,9.00,0.00,0.00
12,Florida,US,31-03-2020 18:31,27.7663,-81.6868,6338.00,77.00,0.00,0.00
13,Georgia,US,31-03-2020 18:31,33.0406,-83.6431,3820.00,102.00,0.00,0.00
999,Grand Princess,US,31-03-2020 18:31,37.6489,-122.6655,103.00,3.00,0.00,0.00
66,Guam,US,31-03-2020 18:31,13.4443,144.7937,69.00,2.00,0.00,0.00
15,Hawaii,US,31-03-2020 18:31,21.0943,-157.4983,204.00,0.00,0.00,0.00
16,Idaho,US,31-03-2020 18:31,44.2405,-114.4788,475.00,8.00,0.00,0.00
17,Illinois,US,31-03-2020 18:31,40.3495,-88.9861,5058.00,74.00,0.00,0.00
18,Indiana,US,31-03-2020 18:31,39.8494,-86.2583,2158.00,48.00,0.00,0.00
19,Iowa,US,31-03-2020 18:31,42.0115,-93.2105,424.00,6.00,0.00,0.00
20,Kansas,US,31-03-2020 18:31,38.5266,-96.7265,384.00,8.00,0.00,0.00
21,Kentucky,US,31-03-2020 18:31,37.6681,-84.6701,480.00,11.00,0.00,0.00
22,Louisiana,US,31-03-2020 18:31,31.1695,-91.8678,4025.00,185.00,0.00,0.00
23,Maine,US,31-03-2020 18:31,44.6939,-69.3819,303.00,5.00,0.00,0.00
24,Maryland,US,31-03-2020 18:31,39.0639,-76.8021,1660.00,18.00,0.00,0.00
25,Massachusetts,US,31-03-2020 18:31,42.2302,-71.5301,5752.00,56.00,0.00,0.00
26,Michigan,US,31-03-2020 18:31,43.3266,-84.5361,6498.00,185.00,0.00,0.00
27,Minnesota,US,31-03-2020 18:31,45.6945,-93.9002,629.00,12.00,0.00,0.00
28,Mississippi,US,31-03-2020 18:31,32.7416,-89.6787,937.00,20.00,0.00,0.00
29,Missouri,US,31-03-2020 18:31,38.4561,-92.2884,1110.00,14.00,0.00,0.00
30,Montana,US,31-03-2020 18:31,46.9219,-110.4544,184.00,5.00,0.00,0.00
31,Nebraska,US,31-03-2020 18:31,41.1254,-98.2681,153.00,3.00,0.00,0.00
32,Nevada,US,31-03-2020 18:31,38.3135,-117.0554,1044.00,18.00,0.00,0.00
33,New Hampshire,US,31-03-2020 18:31,43.4525,-71.5639,314.00,3.00,0.00,0.00
34,New Jersey,US,31-03-2020 18:31,40.2989,-74.5210,17126.00,198.00,0.00,0.00
35,New Mexico,US,31-03-2020 18:31,34.8405,-106.2485,281.00,4.00,0.00,0.00
36,New York,US,31-03-2020 18:31,42.1657,-74.9481,75795.00,1550.00,0.00,0.00
37,North Carolina,US,31-03-2020 18:31,35.6301,-79.8064,1510.00,10.00,0.00,0.00
38,North Dakota,US,31-03-2020 18:31,47.5289,-99.7840,122.00,3.00,0.00,0.00
39,Ohio,US,31-03-2020 18:31,40.3888,-82.7649,1933.00,40.00,0.00,0.00
40,Oklahoma,US,31-03-2020 18:31,35.5653,-96.9289,566.00,23.00,0.00,0.00
41,Oregon,US,31-03-2020 18:31,44.5720,-122.0709,606.00,16.00,0.00,0.00
42,Pennsylvania,US,31-03-2020 18:31,40.5908,-77.2098,4963.00,63.00,0.00,0.00
72,Puerto Rico,US,31-03-2020 18:31,18.2208,-66.5901,239.00,8.00,0.00,0.00
44,Rhode Island,US,31-03-2020 18:31,41.6809,-71.5118,408.00,4.00,0.00,0.00
45,South Carolina,US,31-03-2020 18:31,33.8569,-80.9450,925.00,18.00,0.00,0.00
46,South Dakota,US,31-03-2020 18:31,44.2998,-99.4388,108.00,1.00,0.00,0.00
47,Tennessee,US,31-03-2020 18:31,35.7478,-86.6923,2041.00,14.00,0.00,0.00
48,Texas,US,31-03-2020 18:31,31.0545,-97.5635,3344.00,49.00,0.00,0.00
49,Utah,US,31-03-2020 18:31,40.1500,-111.8624,806.00,4.00,0.00,0.00
